n,depth,alpha,seed,rule,chi,peak_weight,R,min_abs_Z,fidelity,discarded_weight,seconds
16,24,0,1,top_chi,8,1,1,0.143109,0.0586493,8.04436,0.248717
16,24,0,1,top_chi,16,1,1,0.262064,0.18529,4.8519,0.34612
16,24,0,1,top_chi,32,1,1,0.466501,0.395676,2.79082,0.835409
16,24,0,1,top_chi,64,1,1,0.709709,0.674571,1.23185,10.9488
16,24,0,1,top_chi,128,1,1,0.92525,0.922204,0.246415,33.8278
16,24,0,1,top_chi,256,1,1,1,1,0,26.4713
16,24,0,1,random,2,1,0.4375,0.00991487,3.68904e-06,156.002,0.119199
16,24,0,1,random,4,1,0.6875,0.066084,1.10156e-06,125.44,0.189078
16,24,0,1,random,8,1,0.5,0.00938947,2.77431e-06,101.567,0.218685
16,24,0,1,random,16,1,0.3125,0.0129393,2.74397e-08,74.0438,0.304264
16,24,0,1,random,32,1,0.5,0.0203099,4.03251e-06,53.4058,0.872625
16,24,0,1,random,64,1,0.75,0.00200899,5.6111e-05,32.5659,13.0903
16,24,0,1,random,128,1,0.375,7.74766e-05,3.35102e-05,10.2592,19.2786
16,24,0,1,random,256,1,1,1,1,0,30.3137
16,24,0,2,top_chi,2,1,0.5625,0.00244803,2.1472e-05,21.6004,0.0453921
16,24,0,2,top_chi,4,1,0.9375,0.0408075,0.00678239,12.7115,0.0521876
16,24,0,2,top_chi,8,1,1,0.0515364,0.0532514,7.93869,0.0597378
16,24,0,2,top_chi,16,1,1,0.234486,0.180929,4.80827,0.113779
16,24,0,2,top_chi,32,1,1,0.435338,0.40208,2.8198,0.37341
16,24,0,2,top_chi,64,1,1,0.691709,0.67129,1.26117,4.26152
16,24,0,2,top_chi,128,1,1,0.921364,0.919179,0.248247,31.8299
16,24,0,2,top_chi,256,1,1,1,1,0,31.1913
16,24,0,2,random,2,1,0.5,0.114856,2.11948e-06,155.682,0.170031
16,24,0,2,random,4,1,0.5625,0.0294099,8.6746e-07,128.579,0.190676
16,24,0,2,random,8,1,0.6875,0.0173496,1.75281e-06,100.207,0.211699
16,24,0,2,random,16,1,0.375,0.00979482,4.68182e-07,79.2004,0.303001
16,24,0,2,random,32,1,0.6875,0.0139425,0.000103847,51.0187,0.72873
16,24,0,2,random,64,1,0.5,0.00158625,1.26456e-06,33.3498,7.37215
16,24,0,2,random,128,1,0.4375,0.00167778,7.36514e-06,10.9192,30.3623
16,24,0,2,random,256,1,1,1,1,0,22.5764
16,24,0,3,top_chi,2,1,0.375,0.0405885,3.98944e-07,23.1797,0.058627
16,24,0,3,top_chi,4,1,0.9375,0.0342589,0.0037114,12.4434,0.0681651
16,24,0,3,top_chi,8,1,1,0.123209,0.0931252,7.40006,0.086169
16,24,0,3,top_chi,16,1,1,0.247713,0.200394,4.54853,0.314142
16,24,0,3,top_chi,32,1,1,0.469939,0.415224,2.63302,0.9497
16,24,0,3,top_chi,64,1,1,0.730759,0.701631,1.10575,13.6867
16,24,0,3,top_chi,128,1,1,0.936476,0.932776,0.211739,31.9748
16,24,0,3,top_chi,256,1,1,1,1,0,47.6139
16,24,0,3,random,2,1,0.3125,0.0367973,2.08606e-08,145.379,0.122653
16,24,0,3,random,4,1,0.3125,0.0466521,4.87222e-07,126.963,0.097183
16,24,0,3,random,8,1,0.625,0.0164443,5.28474e-06,97.6698,0.143978
16,24,0,3,random,16,1,0.6875,0.0228955,2.57338e-05,79.8313,0.201337
16,24,0,3,random,32,1,0.6875,0.00363836,9.71389e-07,50.3594,0.528295
16,24,0,3,random,64,1,0.6875,0.000539201,1.37081e-05,33.2481,9.28275
16,24,0,3,random,128,1,0.5625,0.00108286,0.000312181,10.4066,33.4291
16,24,0,3,random,256,1,1,1,1,0,36.1709
16,24,0,4,top_chi,2,1,0.5,0.00619151,3.83067e-05,19.7628,0.0978362
16,24,0,4,top_chi,4,1,0.75,0.0645456,0.00641275,12.9629,0.0960673
16,24,0,4,top_chi,8,1,1,0.109626,0.0738354,6.97137,0.0808617
16,24,0,4,top_chi,16,1,1,0.323347,0.24251,4.26995,0.14022
16,24,0,4,top_chi,32,1,1,0.491839,0.447998,2.31669,0.396781
16,24,0,4,top_chi,64,1,1,0.750487,0.732925,0.977195,5.24609
16,24,0,4,top_chi,128,1,1,0.943632,0.941959,0.182116,35.3804
16,24,0,4,top_chi,256,1,1,1,1,0,26.2416
16,24,0,4,random,2,1,0.5,0.00703052,7.24942e-07,151.316,0.149646
16,24,0,4,random,4,1,0.5,0.0226528,6.22658e-09,121.371,0.156148
16,24,0,4,random,8,1,0.375,0.0053547,2.61585e-05,103.743,0.217328
16,24,0,4,random,16,1,0.75,0.0114352,1.40948e-06,82.7283,0.326088
16,24,0,4,random,32,1,0.6875,0.00409979,2.7354e-05,53.65,0.799139
16,24,0,4,random,64,1,0.5625,0.00977353,1.57057e-05,32.4394,10.6225
16,24,0,4,random,128,1,0.5,0.000439975,3.30838e-05,9.41107,25.8066
16,24,0,4,random,256,1,1,1,1,0,29.0907
16,24,0.05,0,top_chi,2,0.272168,0.5625,0.00135307,2.84049e-05,20.7385,0.0497667
16,24,0.05,0,top_chi,4,0.272168,0.6875,0.00517776,0.000637142,12.6916,0.0677189
16,24,0.05,0,top_chi,8,0.272168,1,0.148407,0.0336292,7.52936,0.0811833
16,24,0.05,0,top_chi,16,0.272168,1,0.150457,0.106874,4.74091,0.112778
16,24,0.05,0,top_chi,32,0.272168,1,0.240431,0.274133,2.7577,0.402111
16,24,0.05,0,top_chi,64,0.272168,1,0.321886,0.51929,1.26358,8.97303
16,24,0.05,0,top_chi,128,0.272168,1,0.348067,0.842922,0.280298,32.2682
16,24,0.05,0,top_chi,256,0.272168,1,0.339444,1,0,32.7177
